namaBarang,kategori,stok,hargaBeli,hargaJual,date
TV,Elektronik,93,3632,7061,15/12/2024 08:27
Vacuum Cleaner,Peralatan Rumah Tangga,290,4643,5149,15/12/2024 08:27
Kursi,Furniture,101,6016,9359,15/12/2024 08:27
Smartphone,Elektronik,324,2233,4285,15/12/2024 08:27
Sofa,Furniture,138,9287,14199,15/12/2024 08:27
Blender,Peralatan Rumah Tangga,399,4082,6105,15/12/2024 08:27
Speaker,Elektronik,184,1882,6688,15/12/2024 08:27
Setrika,Peralatan Rumah Tangga,305,3529,5698,15/12/2024 08:27
Laptop,Elektronik,263,3240,7781,15/12/2024 08:27
Ranjang,Furniture,68,8162,9301,15/12/2024 08:27
Kipas Angin,Peralatan Rumah Tangga,437,6868,8409,15/12/2024 08:27
Headphones,Elektronik,78,7847,9533,15/12/2024 08:27
Rice Cooker,Peralatan Rumah Tangga,359,4275,4856,15/12/2024 08:27
Lemari,Furniture,37,6509,9509,15/12/2024 08:27
Kaos,Pakaian,298,7649,9976,15/12/2024 08:27
Celana,Pakaian,287,3925,5143,15/12/2024 08:27
Headphones,Elektronik,479,9276,14142,15/12/2024 08:27
Meja,Furniture,238,8315,8892,15/12/2024 08:27
Setrika,Peralatan Rumah Tangga,422,8231,9243,15/12/2024 08:27
Roti,Makanan,483,2079,6352,15/12/2024 08:27
Kursi,Furniture,275,4321,7555,15/12/2024 08:27
Tas,Pakaian,50,9236,13778,15/12/2024 08:27
Biskuit,Makanan,282,7516,9612,15/12/2024 08:27
Sofa,Furniture,24,4250,6765,15/12/2024 08:27
Jaket,Pakaian,106,6120,6704,15/12/2024 08:27
Speaker,Elektronik,474,5702,9253,15/12/2024 08:27
Laptop,Elektronik,271,1375,4625,15/12/2024 08:27
Sepatu,Pakaian,418,1414,2184,15/12/2024 08:27
Teh,Makanan,253,7022,9492,15/12/2024 08:27
Smartphone,Elektronik,256,3024,4179,15/12/2024 08:27
